,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
82,ONON,On Holding AG,10.59B,1.68%,4023640,2.13B
83,SCI,Service Corporation International,10.58B,-0.34%,826817,4.10B
84,BBWI,"Bath & Body Works, Inc.",10.31B,-0.59%,1916527,7.43B
85,PAG,"Penske Automotive Group, Inc.",10.27B,1.03%,139370,29.53B
86,WING,Wingstop Inc.,10.20B,-0.73%,761553,460.06M
87,TXRH,"Texas Roadhouse, Inc.",10.18B,-0.44%,821488,4.63B
88,ALV,"Autoliv, Inc.",9.92B,-1.12%,395712,10.48B
89,CCK,"Crown Holdings, Inc.",9.39B,0.60%,1118010,12.01B
90,VIPS,Vipshop Holdings Limited,9.34B,-0.29%,2336885,15.92B
91,SKX,"Skechers U.S.A., Inc.",9.34B,-0.83%,1106309,8.00B
92,TPX,"Tempur Sealy International, Inc.",9.20B,-2.68%,2244190,4.93B
93,XPEV,XPeng Inc.,9.12B,2.66%,8529300,3.13B
94,LNW,"Light & Wonder, Inc.",9.04B,-0.79%,990775,2.90B
95,BIRK,Birkenstock Holding plc,8.99B,1.42%,297618,1.68B
96,MUSA,Murphy USA Inc.,8.78B,2.07%,157955,21.53B
97,GPS,"The Gap, Inc.",8.75B,2.57%,15056404,14.83B
98,CHDN,Churchill Downs Incorporated,8.65B,1.38%,960514,2.46B
99,CZR,"Caesars Entertainment, Inc.",8.47B,-1.88%,5442157,11.53B
100,GPK,Graphic Packaging Holding Company,8.46B,-0.54%,2573940,9.43B
101,MTN,"Vail Resorts, Inc.",8.31B,-0.95%,519516,2.84B
102,GNTX,Gentex Corporation,8.27B,-0.61%,2125448,2.30B
103,NCLH,Norwegian Cruise Line Holdings Ltd.,8.26B,0.36%,6604269,8.55B
104,AS,"Amer Sports, Inc.",8.13B,-,461434,4.37B
105,SN,"SharkNinja, Inc.",8.07B,0.73%,518229,4.25B
106,LEA,Lear Corporation,8.00B,0.06%,541183,23.47B
107,ETSY,"Etsy, Inc.",7.85B,-1.72%,6711699,2.75B
108,PVH,PVH Corp.,7.81B,-0.27%,903920,9.22B
109,LAD,"Lithia Motors, Inc.",7.76B,-0.20%,165088,31.04B
110,CROX,"Crocs, Inc.",7.75B,1.73%,1485886,3.96B
111,MHK,"Mohawk Industries, Inc.",7.51B,0.75%,477625,11.14B
112,CHWY,"Chewy, Inc.",7.50B,0.87%,5375390,11.01B
113,HAS,"Hasbro, Inc.",7.40B,0.64%,3372874,5.00B
114,BWA,BorgWarner Inc.,7.38B,0.28%,2791857,14.20B
115,W,Wayfair Inc.,7.34B,-2.60%,2346291,12.00B
116,CAVA,"CAVA Group, Inc.",7.31B,0.72%,1490012,728.70M
117,LEVI,Levi Strauss & Co.,7.24B,-0.71%,837741,6.18B
118,BROS,Dutch Bros Inc.,7.19B,0.47%,936345,965.78M
119,MMYT,MakeMyTrip Limited,6.98B,0.27%,1091973,728.16M
120,DDS,"Dillard's, Inc.",6.93B,-2.59%,102440,6.87B
121,BERY,"Berry Global Group, Inc.",6.92B,-0.42%,1996109,12.46B
122,MAT,"Mattel, Inc.",6.77B,-0.52%,9821235,5.44B
123,ALSN,"Allison Transmission Holdings, Inc.",6.74B,0.37%,363300,3.04B
124,AN,"AutoNation, Inc.",6.63B,2.49%,1150048,26.95B
125,BFAM,Bright Horizons Family Solutions Inc.,6.58B,-0.98%,196371,2.42B
126,HRB,"H&R Block, Inc.",6.52B,0.26%,910248,3.49B
127,CART,Maplebear Inc.,6.47B,0.17%,4485394,3.04B
128,CHH,"Choice Hotels International, Inc.",6.39B,1.62%,683965,1.54B
129,ANF,Abercrombie & Fitch Co.,6.36B,0.42%,1836213,4.28B
130,WH,"Wyndham Hotels & Resorts, Inc.",6.35B,0.24%,1494997,1.40B
131,LCID,"Lucid Group, Inc.",6.21B,2.66%,22239148,595.27M
132,MNSO,MINISO Group Holding Limited,6.20B,-,3539630,1.95B
133,REYN,Reynolds Consumer Products Inc.,6.06B,1.12%,3834377,3.76B
134,TMHC,Taylor Morrison Home Corporation,6.01B,-0.56%,900145,7.42B
135,BC,Brunswick Corporation,5.96B,2.80%,1278320,6.40B
136,BYD,Boyd Gaming Corporation,5.93B,-0.21%,952628,3.74B
137,M,"Macy's, Inc.",5.81B,-1.44%,11668484,23.87B
138,GIL,Gildan Activewear Inc.,5.77B,-0.84%,354988,3.20B
139,VFC,V.F. Corporation,5.75B,1.23%,8844706,10.82B
140,WHR,Whirlpool Corporation,5.73B,-0.53%,1401276,19.46B
141,MTH,Meritage Homes Corporation,5.69B,1.84%,2157661,6.14B
142,RRR,"Red Rock Resorts, Inc.",5.62B,-1.27%,678585,1.72B
143,HOG,"Harley-Davidson, Inc.",5.60B,1.21%,2262689,5.84B
144,SON,Sonoco Products Company,5.59B,0.23%,300725,6.78B
145,THO,"Thor Industries, Inc.",5.54B,2.86%,689464,10.38B
146,GLBE,Global-e Online Ltd.,5.47B,-3.07%,1545751,569.95M
147,CPRI,Capri Holdings Limited,5.46B,-0.23%,1171760,5.28B
148,PLNT,"Planet Fitness, Inc.",5.34B,-0.53%,992070,1.07B
149,RH,RH,5.30B,-0.37%,267779,3.06B
150,ASO,"Academy Sports and Outdoors, Inc.",5.28B,-0.13%,1804966,6.11B
151,SEE,Sealed Air Corporation,5.22B,0.42%,803233,5.49B
152,PII,Polaris Inc.,5.19B,1.35%,983959,8.93B
153,KBH,KB Home,5.14B,1.51%,1174358,6.41B
154,AAP,"Advance Auto Parts, Inc.",4.87B,2.82%,2059870,11.29B
155,LOT,Lotus Technology Inc.,4.86B,1.98%,38826,139.59M
156,COLM,Columbia Sportswear Company,4.77B,0.26%,1843686,3.49B
157,SLGN,Silgan Holdings Inc.,4.74B,0.27%,459685,5.99B
158,HGV,Hilton Grand Vacations Inc.,4.72B,1.78%,1043598,3.98B
159,MDC,"M.D.C. Holdings, Inc.",4.70B,-0.19%,1748401,4.64B
160,SKY,Skyline Champion Corporation,4.68B,1.22%,320283,1.98B
161,MOD,Modine Manufacturing Company,4.62B,4.53%,1210356,2.42B
162,DOOO,BRP Inc.,4.62B,-1.76%,91322,7.85B
163,AEO,"American Eagle Outfitters, Inc.",4.57B,0.35%,4474937,5.26B
164,SIG,Signet Jewelers Limited,4.43B,2.06%,548048,7.34B
165,SHAK,Shake Shack Inc.,4.39B,-0.01%,602536,1.09B
166,GME,GameStop Corp.,4.35B,-2.67%,2722081,5.71B
167,ABG,"Asbury Automotive Group, Inc.",4.28B,2.59%,172593,14.80B
168,IGT,International Game Technology PLC,4.12B,-1.01%,2723572,4.79B
169,URBN,"Urban Outfitters, Inc.",3.98B,1.25%,2016630,5.05B
170,GOLF,Acushnet Holdings Corp.,3.94B,-0.03%,290831,2.38B
171,RUSHA,"Rush Enterprises, Inc.",3.86B,1.90%,1100986,7.93B
172,RUSHB,"Rush Enterprises, Inc.",3.86B,2.57%,40932,7.93B
173,TRIP,"Tripadvisor, Inc.",3.77B,1.67%,3896995,1.79B
174,WEN,The Wendy's Company,3.77B,0.44%,5149876,2.18B
175,ZGN,Ermenegildo Zegna N.V.,3.69B,-0.34%,555710,1.83B
176,GPI,"Group 1 Automotive, Inc.",3.65B,1.35%,94145,17.87B
177,GT,The Goodyear Tire & Rubber Company,3.52B,-,3314160,20.07B
178,VAC,Marriott Vacations Worldwide Corporation,3.47B,0.89%,491310,4.73B
179,MHO,"M/I Homes, Inc.",3.40B,-0.35%,280836,4.03B
180,DFH,"Dream Finders Homes, Inc.",3.31B,-5.81%,701136,3.75B
181,PSNY,Polestar Automotive Holding UK PLC,3.29B,4.49%,1942731,2.83B
182,KTB,"Kontoor Brands, Inc.",3.29B,-0.66%,1226185,2.61B
183,PRKS,United Parks & Resorts Inc.,3.28B,1.40%,727437,1.73B
184,TPH,"Tri Pointe Homes, Inc.",3.28B,1.81%,3409931,3.72B
185,TNL,Travel + Leisure Co.,3.23B,1.63%,465493,3.75B
186,YETI,"YETI Holdings, Inc.",3.22B,-0.30%,1014579,1.66B
187,MLCO,Melco Resorts & Entertainment Limited,3.15B,-1.37%,1911720,3.78B
188,CVCO,"Cavco Industries, Inc.",3.15B,3.09%,180029,1.85B
189,CRI,"Carter's, Inc.",3.14B,1.20%,2204508,2.95B
190,VC,Visteon Corporation,3.10B,-0.54%,401619,3.95B
191,SHOO,"Steven Madden, Ltd.",3.08B,0.02%,4625570,1.98B
192,UA,"Under Armour, Inc.",3.07B,-0.57%,6125660,5.77B
193,UAA,"Under Armour, Inc.",3.07B,-1.11%,10022858,5.77B
194,GEF.B,"Greif, Inc.",3.03B,1.48%,15449,5.15B
195,GEF,"Greif, Inc.",3.03B,0.97%,350960,5.15B
196,SVV,"Savers Value Village, Inc.",2.99B,-1.87%,854914,1.50B
197,ADNT,Adient plc,2.97B,0.18%,1205919,15.36B
198,ACVA,ACV Auctions Inc.,2.90B,1.90%,1257631,481.23M
199,AIN,Albany International Corp.,2.88B,0.77%,155100,1.15B
200,QS,QuantumScape Corporation,2.82B,1.97%,3565279,-
201,DORM,"Dorman Products, Inc.",2.81B,-0.01%,220829,1.93B
202,JWN,"Nordstrom, Inc.",2.81B,-1.76%,3610631,14.59B
203,VSTS,Vestis Corporation,2.80B,-1.98%,3400228,-
204,CCS,"Century Communities, Inc.",2.80B,1.71%,1043527,3.69B
205,LCII,LCI Industries,2.78B,2.79%,333771,3.78B
206,LTH,"Life Time Group Holdings, Inc.",2.78B,-1.60%,628676,2.22B
207,KSS,Kohl's Corporation,2.75B,-1.27%,4349729,17.54B
208,PENN,"PENN Entertainment, Inc.",2.69B,-2.86%,5836502,6.36B
209,ATAT,Atour Lifestyle Holdings Limited,2.67B,-0.15%,2472425,520.90M
210,ZKH,ZKH Group Limited,2.63B,-0.85%,45489,1.16B
211,BOOT,"Boot Barn Holdings, Inc.",2.63B,0.17%,498215,1.70B
212,MODG,Topgolf Callaway Brands Corp.,2.55B,3.81%,2401944,4.28B
213,PATK,"Patrick Industries, Inc.",2.52B,2.10%,746854,3.47B
214,LGIH,"LGI Homes, Inc.",2.52B,-1.23%,384539,2.36B
215,SG,"Sweetgreen, Inc.",2.51B,2.69%,1865619,584.04M
216,LEG,"Leggett & Platt, Incorporated",2.49B,0.43%,1815317,4.73B
217,BLMN,"Bloomin' Brands, Inc.",2.46B,-0.70%,1363384,4.67B
218,GRBK,"Green Brick Partners, Inc.",2.46B,1.19%,386901,1.78B
219,FTDR,"Frontdoor, Inc.",2.40B,0.79%,1202360,1.78B
220,OI,"O-I Glass, Inc.",2.39B,2.03%,1488476,7.11B
221,ARCO,Arcos Dorados Holdings Inc.,2.39B,-3.81%,1402733,4.33B
222,DRVN,Driven Brands Holdings Inc.,2.39B,1.89%,1041979,2.30B
223,PTVE,Pactiv Evergreen Inc.,2.34B,0.15%,461838,5.51B
224,MCW,"Mister Car Wash, Inc.",2.32B,3.52%,1018315,927.07M
225,MBC,"MasterBrand, Inc.",2.28B,1.01%,2814215,2.73B
226,PZZA,"Papa John's International, Inc.",2.28B,0.81%,720796,2.14B
227,GTX,Garrett Motion Inc.,2.26B,-1.86%,1048168,3.89B
228,MLKN,"MillerKnoll, Inc.",2.22B,1.60%,4412646,3.81B
229,FUN,"Cedar Fair, L.P.",2.19B,0.28%,161593,1.80B
230,SIX,Six Flags Entertainment Corporation,2.17B,0.39%,1039950,1.43B
231,ARHS,"Arhaus, Inc.",2.14B,-2.80%,1666795,1.29B
232,EAT,"Brinker International, Inc.",2.12B,0.86%,1160195,4.25B
233,FL,"Foot Locker, Inc.",2.12B,-1.88%,4281568,8.13B
234,AMBP,Ardagh Metal Packaging S.A.,2.07B,3.89%,790393,4.81B
235,HBI,Hanesbrands Inc.,2.00B,6.77%,78756942,5.64B
236,FOXF,Fox Factory Holding Corp.,1.96B,-1.02%,696657,1.46B
237,BKE,"The Buckle, Inc.",1.96B,3.11%,663937,1.28B
238,WGO,"Winnebago Industries, Inc.",1.90B,3.16%,1510959,3.30B
239,ODP,The ODP Corporation,1.87B,1.59%,1108059,7.83B
240,VSTO,Vista Outdoor Inc.,1.86B,0.22%,632112,2.79B
241,CAKE,The Cheesecake Factory Incorporated,1.83B,-0.56%,810846,3.44B
242,SAH,"Sonic Automotive, Inc.",1.79B,1.85%,340851,14.37B
243,EYE,"National Vision Holdings, Inc.",1.79B,0.18%,1116653,2.13B
244,KAR,Openlane Inc.,1.73B,2.37%,607916,1.65B
245,THRM,Gentherm Incorporated,1.71B,0.43%,272397,1.47B
246,SGHC,Super Group (SGHC) Limited,1.71B,1.18%,430158,1.49B
247,PHIN,PHINIA Inc.,1.70B,-1.47%,1791774,3.50B
248,DAN,Dana Incorporated,1.68B,0.61%,1146840,10.56B
249,OXM,"Oxford Industries, Inc.",1.66B,1.22%,236153,1.55B
250,CNNE,"Cannae Holdings, Inc.",1.59B,0.14%,466068,570.00M
251,PTON,"Peloton Interactive, Inc.",1.58B,-0.69%,10405074,2.73B
252,LZB,La-Z-Boy Incorporated,1.56B,1.33%,731633,2.05B
253,BYON,"Beyond, Inc.",1.54B,-2.05%,884437,1.56B
254,AMWD,American Woodmark Corporation,1.50B,1.65%,350310,1.88B
255,CBRL,"Cracker Barrel Old Country Store, Inc.",1.49B,-0.43%,673807,3.43B
256,RVLV,"Revolve Group, Inc.",1.49B,0.77%,794711,1.07B
257,FWRG,"First Watch Restaurant Group, Inc.",1.47B,1.36%,742754,891.55M
258,JACK,Jack in the Box Inc.,1.43B,-1.36%,680114,1.65B
259,VSCO,Victoria's Secret & Co.,1.42B,-3.22%,3321165,6.12B
260,CAL,"Caleres, Inc.",1.38B,1.72%,513330,2.82B
261,GES,"Guess', Inc.",1.35B,-1.18%,493951,2.70B
262,MCRI,"Monarch Casino & Resort, Inc.",1.34B,-0.63%,669848,501.48M
263,XPEL,"XPEL, Inc.",1.34B,0.23%,277246,396.29M
264,LVWR,"LiveWire Group, Inc.",1.34B,-7.88%,65730,38.02M
265,LESL,"Leslie's, Inc.",1.34B,5.99%,4277325,1.43B
266,RSI,"Rush Street Interactive, Inc.",1.29B,-0.34%,870577,691.16M
267,OSW,OneSpaWorld Holdings Limited,1.29B,-0.08%,706548,794.05M
268,PLYA,Playa Hotels & Resorts N.V.,1.29B,-1.16%,1081827,977.50M
269,NWTN,NWTN Inc.,1.26B,-10.86%,47863,583.00K
270,MSC,Studio City International Holdings Limited,1.25B,-,2003,445.54M
271,SBH,"Sally Beauty Holdings, Inc.",1.24B,0.08%,1495969,3.70B
272,OLPX,"Olaplex Holdings, Inc.",1.24B,10.59%,8301698,458.30M
273,GOOS,Canada Goose Holdings Inc.,1.22B,-1.27%,1480083,954.14M
274,WINA,Winmark Corporation,1.22B,-1.60%,27787,83.24M
275,GIII,"G-III Apparel Group, Ltd.",1.20B,-1.80%,2882011,3.19B
276,CWH,"Camping World Holdings, Inc.",1.17B,1.25%,992386,6.23B
277,EXTO,Almacenes Éxito S.A.,1.13B,-,81406,5.45B
278,KRUS,"Kura Sushi USA, Inc.",1.12B,1.52%,70491,199.59M
279,CARS,Cars.com Inc.,1.09B,-2.13%,1312482,689.18M
280,BLBD,Blue Bird Corporation,1.02B,-0.75%,551273,1.21B
281,TRS,TriMas Corporation,1.02B,1.38%,238251,893.55M
282,GDEN,"Golden Entertainment, Inc.",977.05M,0.80%,306586,1.05B
283,NGMS,NeoGames S.A.,971.96M,0.35%,21594,191.54M
284,SHCO,Soho House & Co Inc.,969.23M,-13.57%,511089,1.12B
285,ACEL,"Accel Entertainment, Inc.",950.33M,0.53%,328009,1.17B
286,BZH,"Beazer Homes USA, Inc.",933.41M,-0.50%,255062,2.15B
287,SCVL,"Shoe Carnival, Inc.",884.22M,1.81%,392214,1.19B
288,TILE,"Interface, Inc.",881.16M,1.20%,1299961,1.26B
289,MNRO,"Monro, Inc.",877.33M,3.20%,1513292,1.28B
290,FIGS,"FIGS, Inc.",854.65M,1.21%,3924913,545.65M
291,HOV,"Hovnanian Enterprises, Inc.",837.05M,-3.82%,76852,2.83B
292,ETD,Ethan Allen Interiors Inc.,828.03M,0.40%,251664,704.86M
293,BJRI,"BJ's Restaurants, Inc.",819.48M,0.06%,494815,1.33B
294,WWW,"Wolverine World Wide, Inc.",809.42M,1.40%,2069828,2.24B
295,HIBB,"Hibbett, Inc.",806.49M,-6.19%,1321175,1.72B
296,MBUU,"Malibu Boats, Inc.",803.75M,2.88%,413493,1.21B
297,PTLO,Portillo's Inc.,790.97M,0.94%,807037,679.91M
298,AXL,"American Axle & Manufacturing Holdings, Inc.",771.49M,0.76%,16138836,6.08B
299,MYE,"Myers Industries, Inc.",768.33M,-0.14%,726098,813.07M
300,EVRI,Everi Holdings Inc.,763.22M,2.47%,1508493,807.82M
301,EVGO,"EVgo, Inc.",753.79M,1.21%,2397630,160.95M
302,SABR,Sabre Corporation,751.37M,4.21%,8969350,2.91B
303,DESP,"Despegar.com, Corp.",747.76M,14.46%,2145568,706.04M
304,XPOF,"Xponential Fitness, Inc.",725.16M,2.48%,473485,318.66M
305,DIN,"Dine Brands Global, Inc.",724.51M,0.11%,310556,831.07M
306,LAZR,"Luminar Technologies, Inc.",717.21M,-3.68%,22008773,69.78M
307,BWMX,"Betterware de México, S.A.P.I. de C.V.",709.01M,3.04%,69827,767.35M
308,CHPT,"ChargePoint Holdings, Inc.",707.28M,-0.59%,28282987,543.63M
309,JMIA,Jumia Technologies AG,694.25M,1.47%,2817019,207.11M
310,SMP,"Standard Motor Products, Inc.",685.62M,1.39%,268328,1.36B
311,HZO,"MarineMax, Inc.",678.35M,2.49%,325419,2.41B
312,ARKO,Arko Corp.,665.99M,-0.36%,803843,9.41B
313,DADA,Dada Nexus Limited,665.51M,2.01%,2554573,1.50B
314,FLWS,"1-800-FLOWERS.COM, Inc.",659.81M,0.79%,251592,1.91B
315,ECX,"ECARX Holdings, Inc.",651.17M,3.13%,55440,4.67B
316,DBI,Designer Brands Inc.,625.43M,2.04%,1547668,3.08B
317,PACK,Ranpak Holdings Corp.,620.49M,2.18%,1508896,336.30M
318,LEGH,Legacy Housing Corporation,614.43M,0.72%,138568,189.14M
319,BALY,Bally's Corporation,607.69M,-1.04%,406925,2.45B
320,SDA,SunCar Technology Group Inc.,607.02M,1.77%,323051,317.06M
321,BH,Biglari Holdings Inc.,603.59M,6.85%,8115,365.32M
322,MOV,"Movado Group, Inc.",588.65M,2.34%,482075,687.25M
323,CHUY,"Chuy's Holdings, Inc.",585.23M,1.05%,280230,461.31M
324,HSAI,Hesai Group,582.48M,5.69%,897268,264.74M
325,WOOF,"Petco Health and Wellness Company, Inc.",567.57M,2.43%,6758469,6.16B
326,LQDT,"Liquidity Services, Inc.",548.95M,1.65%,241750,313.51M
327,MLR,"Miller Industries, Inc.",544.35M,0.76%,71028,1.15B
328,TAST,"Carrols Restaurant Group, Inc.",544.01M,-,765093,1.88B
329,PLOW,"Douglas Dynamics, Inc.",529.55M,1.16%,476163,568.18M
330,HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,528.12M,1.25%,132037,907.59M
331,SES,SES AI Corporation,525.35M,2.70%,509669,-
332,KRT,Karat Packaging Inc.,517.71M,-10.31%,207289,405.65M
333,RICK,"RCI Hospitality Holdings, Inc.",509.82M,0.31%,70808,297.73M
334,HVT,"Haverty Furniture Companies, Inc.",509.51M,1.48%,208427,862.13M
335,HVT.A,"Haverty Furniture Companies, Inc.",509.51M,-0.61%,4,862.13M
336,QRTEA,"Qurate Retail, Inc.",494.19M,-0.84%,8227430,10.92B
337,HLLY,Holley Inc.,484.95M,-2.14%,448016,659.70M
338,QRTEB,"Qurate Retail, Inc.",480.94M,-6.90%,9177,10.92B
339,DENN,Denny's Corporation,466.10M,-0.11%,558469,463.92M
340,SRI,"Stoneridge, Inc.",461.52M,0.30%,203168,975.82M
341,JOUT,Johnson Outdoors Inc.,449.71M,1.82%,89631,624.15M
342,LIND,"Lindblad Expeditions Holdings, Inc.",444.53M,-1.19%,388515,569.54M
343,BBW,"Build-A-Bear Workshop, Inc.",428.60M,3.24%,685169,481.95M
344,NEGG,"Newegg Commerce, Inc.",414.34M,-2.68%,217350,-
345,HNST,"The Honest Company, Inc.",412.34M,-5.49%,1108111,344.37M
346,CRMT,"America's Car-Mart, Inc.",399.44M,3.11%,1091397,1.42B
347,MED,"Medifast, Inc.",398.89M,5.90%,566748,1.07B
348,ONEW,OneWater Marine Inc.,397.12M,3.37%,222873,1.93B
349,CSV,"Carriage Services, Inc.",387.32M,0.83%,94947,382.52M
350,RERE,ATRenew Inc.,378.79M,-,1259183,1.83B
351,MCFT,"MasterCraft Boat Holdings, Inc.",370.14M,4.27%,161771,537.04M
352,CURV,Torrid Holdings Inc.,366.44M,-8.33%,74147,1.19B
353,MPX,Marine Products Corporation,363.82M,1.06%,51859,383.73M
354,LOVE,The Lovesac Company,350.36M,0.44%,187272,688.24M
355,PBPB,Potbelly Corporation,338.95M,2.23%,399245,491.41M
356,FNKO,"Funko, Inc.",338.58M,4.42%,510930,1.10B
357,UHG,"United Homes Group, Inc.",335.59M,1.76%,20655,421.47M
358,AGS,"PlayAGS, Inc.",333.78M,-2.07%,193684,356.54M
359,REAL,"The RealReal, Inc.",330.83M,0.96%,1912886,549.30M
360,GAMB,Gambling.com Group Limited,327.39M,1.40%,134000,97.47M
361,GHG,GreenTree Hospitality Group Ltd.,321.86M,1.61%,1641,-
362,MYTE,MYT Netherlands Parent B.V.,319.19M,-1.31%,88572,874.94M
363,CDRO,"Codere Online Luxembourg, S.A.",315.73M,-0.43%,38941,152.88M
364,GGR,Gogoro Inc.,315.27M,10.85%,489188,349.85M
